freq,wstatus,age,sex,unit,geo\TIME_PERIOD	2001 
A,ACT,TOTAL,F,PER,AT	1770958 
A,ACT,TOTAL,F,PER,BG	1801657 
A,ACT,TOTAL,F,PER,CH	1742740 
A,ACT,TOTAL,F,PER,CY	128266 
A,ACT,TOTAL,F,PER,CZ	2379878 
A,ACT,TOTAL,F,PER,DK	1342863 
A,ACT,TOTAL,F,PER,EE	307911 
A,ACT,TOTAL,F,PER,EL	1736156 
A,ACT,TOTAL,F,PER,ES	7678237 
A,ACT,TOTAL,F,PER,FI	1233734 
A,ACT,TOTAL,F,PER,FR	12174064 
A,ACT,TOTAL,F,PER,HU	1847629 
A,ACT,TOTAL,F,PER,IE	723778 
A,ACT,TOTAL,F,PER,IT	9566331 
A,ACT,TOTAL,F,PER,LI	8015 
A,ACT,TOTAL,F,PER,LT	778571 
A,ACT,TOTAL,F,PER,LU	78449 
A,ACT,TOTAL,F,PER,LV	494174 
A,ACT,TOTAL,F,PER,NL	3198675 
A,ACT,TOTAL,F,PER,NO	1089130 
A,ACT,TOTAL,F,PER,PL	7774118 
A,ACT,TOTAL,F,PER,PT	2248173 
A,ACT,TOTAL,F,PER,RO	3814165 
A,ACT,TOTAL,F,PER,SE	2033376 
A,ACT,TOTAL,F,PER,SI	431010 
A,ACT,TOTAL,F,PER,SK	1319532 
A,ACT,TOTAL,F,PER,TR	10164540 
A,ACT,TOTAL,F,PER,UK	12820373 
A,ACT,TOTAL,M,PER,AT	2215803 
A,ACT,TOTAL,M,PER,BG	2053336 
A,ACT,TOTAL,M,PER,CH	2204248 
A,ACT,TOTAL,M,PER,CY	174932 
A,ACT,TOTAL,M,PER,CZ	2873522 
A,ACT,TOTAL,M,PER,DK	1531689 
A,ACT,TOTAL,M,PER,EE	324938 
A,ACT,TOTAL,M,PER,EL	2873973 
A,ACT,TOTAL,M,PER,ES	11352681 
A,ACT,TOTAL,M,PER,FI	1312927 
A,ACT,TOTAL,M,PER,FR	14361076 
A,ACT,TOTAL,M,PER,HU	2258850 
A,ACT,TOTAL,M,PER,IE	1043867 
A,ACT,TOTAL,M,PER,IT	14175931 
A,ACT,TOTAL,M,PER,LI	10731 
A,ACT,TOTAL,M,PER,LT	798001 
A,ACT,TOTAL,M,PER,LU	112732 
A,ACT,TOTAL,M,PER,LV	526781 
A,ACT,TOTAL,M,PER,NL	4388239 
A,ACT,TOTAL,M,PER,NO	1237267 
A,ACT,TOTAL,M,PER,PL	9002380 
A,ACT,TOTAL,M,PER,PT	2742035 
A,ACT,TOTAL,M,PER,RO	5037666 
A,ACT,TOTAL,M,PER,SE	2252165 
A,ACT,TOTAL,M,PER,SI	518068 
A,ACT,TOTAL,M,PER,SK	1428518 
A,ACT,TOTAL,M,PER,TR	18379819 
A,ACT,TOTAL,M,PER,UK	15365044 
A,ACT,TOTAL,T,PER,AT	3986761 
A,ACT,TOTAL,T,PER,BG	3854993 
A,ACT,TOTAL,T,PER,CH	3946988 
A,ACT,TOTAL,T,PER,CY	303198 
A,ACT,TOTAL,T,PER,CZ	5253400 
A,ACT,TOTAL,T,PER,DK	2874552 
A,ACT,TOTAL,T,PER,EE	632849 
A,ACT,TOTAL,T,PER,EL	4610129 
A,ACT,TOTAL,T,PER,ES	19030918 
A,ACT,TOTAL,T,PER,FI	2546661 
A,ACT,TOTAL,T,PER,FR	26535140 
A,ACT,TOTAL,T,PER,HU	4106479 
A,ACT,TOTAL,T,PER,IE	1767645 
A,ACT,TOTAL,T,PER,IT	23742262 
A,ACT,TOTAL,T,PER,LI	18746 
A,ACT,TOTAL,T,PER,LT	1576572 
A,ACT,TOTAL,T,PER,LU	191181 
A,ACT,TOTAL,T,PER,LV	1020955 
A,ACT,TOTAL,T,PER,NL	7586914 
A,ACT,TOTAL,T,PER,NO	2326397 
A,ACT,TOTAL,T,PER,PL	16776498 
A,ACT,TOTAL,T,PER,PT	4990208 
A,ACT,TOTAL,T,PER,RO	8851831 
A,ACT,TOTAL,T,PER,SE	4285541 
A,ACT,TOTAL,T,PER,SI	949078 
A,ACT,TOTAL,T,PER,SK	2748050 
A,ACT,TOTAL,T,PER,TR	28544359 
A,ACT,TOTAL,T,PER,UK	28185417 
A,ACT,UNK,F,PER,CY	145 
A,ACT,UNK,F,PER,CZ	415 
A,ACT,UNK,F,PER,EE	50 
A,ACT,UNK,F,PER,LT	10 
A,ACT,UNK,F,PER,LV	7 
A,ACT,UNK,F,PER,PL	282 
A,ACT,UNK,F,PER,SK	10610 
A,ACT,UNK,F,PER,TR	4522 
A,ACT,UNK,M,PER,CY	257 
A,ACT,UNK,M,PER,CZ	656 
A,ACT,UNK,M,PER,EE	102 
A,ACT,UNK,M,PER,LT	34 
A,ACT,UNK,M,PER,LV	30 
A,ACT,UNK,M,PER,PL	380 
A,ACT,UNK,M,PER,SK	11282 
A,ACT,UNK,M,PER,TR	7698 
A,ACT,UNK,T,PER,CY	402 
A,ACT,UNK,T,PER,CZ	1071 
A,ACT,UNK,T,PER,EE	152 
A,ACT,UNK,T,PER,LT	44 
A,ACT,UNK,T,PER,LV	37 
A,ACT,UNK,T,PER,PL	662 
A,ACT,UNK,T,PER,SK	21892 
A,ACT,UNK,T,PER,TR	12220 
A,ACT,Y15,F,PER,AT	3879 
A,ACT,Y15,F,PER,BG	173 
A,ACT,Y15,F,PER,CH	4348 
A,ACT,Y15,F,PER,CY	75 
A,ACT,Y15,F,PER,CZ	93 
A,ACT,Y15,F,PER,DK	9492 
A,ACT,Y15,F,PER,EE	20 
A,ACT,Y15,F,PER,EL	985 
A,ACT,Y15,F,PER,ES	2088 
A,ACT,Y15,F,PER,FI	2525 
A,ACT,Y15,F,PER,FR	2381 
A,ACT,Y15,F,PER,HU	150 
A,ACT,Y15,F,PER,IE	1497 
A,ACT,Y15,F,PER,IT	11096 
A,ACT,Y15,F,PER,LI	22 
A,ACT,Y15,F,PER,LT	589 
A,ACT,Y15,F,PER,LU	66 
A,ACT,Y15,F,PER,LV	162 
A,ACT,Y15,F,PER,NO	5925 
A,ACT,Y15,F,PER,PL	5168 
A,ACT,Y15,F,PER,PT	3293 
A,ACT,Y15,F,PER,RO	8269 
A,ACT,Y15,F,PER,SI	54 
A,ACT,Y15,F,PER,SK	0 
A,ACT,Y15,F,PER,TR	177426 
A,ACT,Y15,M,PER,AT	6367 
A,ACT,Y15,M,PER,BG	110 
A,ACT,Y15,M,PER,CH	5290 
A,ACT,Y15,M,PER,CY	217 
A,ACT,Y15,M,PER,CZ	97 
A,ACT,Y15,M,PER,DK	12518 
A,ACT,Y15,M,PER,EE	43 
A,ACT,Y15,M,PER,EL	2238 
A,ACT,Y15,M,PER,ES	3171 
A,ACT,Y15,M,PER,FI	2498 
A,ACT,Y15,M,PER,FR	5364 
A,ACT,Y15,M,PER,HU	173 
A,ACT,Y15,M,PER,IE	2163 
A,ACT,Y15,M,PER,IT	17053 
A,ACT,Y15,M,PER,LI	22 
A,ACT,Y15,M,PER,LT	559 
A,ACT,Y15,M,PER,LU	91 
A,ACT,Y15,M,PER,LV	272 
A,ACT,Y15,M,PER,NO	5949 
A,ACT,Y15,M,PER,PL	8354 
A,ACT,Y15,M,PER,PT	4504 
A,ACT,Y15,M,PER,RO	12167 
A,ACT,Y15,M,PER,SI	81 
A,ACT,Y15,M,PER,SK	0 
A,ACT,Y15,M,PER,TR	202980 
A,ACT,Y15,T,PER,AT	10246 
A,ACT,Y15,T,PER,BG	283 
A,ACT,Y15,T,PER,CH	9638 
A,ACT,Y15,T,PER,CY	292 
A,ACT,Y15,T,PER,CZ	190 
A,ACT,Y15,T,PER,DK	22010 
A,ACT,Y15,T,PER,EE	63 
A,ACT,Y15,T,PER,EL	3223 
A,ACT,Y15,T,PER,ES	5259 
A,ACT,Y15,T,PER,FI	5023 
A,ACT,Y15,T,PER,FR	7745 
A,ACT,Y15,T,PER,HU	323 
A,ACT,Y15,T,PER,IE	3660 
A,ACT,Y15,T,PER,IT	28149 
A,ACT,Y15,T,PER,LI	44 
A,ACT,Y15,T,PER,LT	1148 
A,ACT,Y15,T,PER,LU	157 
A,ACT,Y15,T,PER,LV	434 
